Day	Session Name	Poster group number	Paper ID	Track	Session start time	Day and time	Type
3	Virtual Poster Q&A Session 3	12	854	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	1020	NLP Applications	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	280	NLP Applications	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	338	NLP Applications	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	915	NLP Applications	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	436	NLP Applications	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	12	466	NLP Applications	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	12	15	NLP Applications	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	343	NLP Applications	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	12	764	NLP Applications	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	702	Question Answering	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	603	Question Answering	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	449	Question Answering	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	70	Question Answering	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	11	509	Question Answering	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	11	59-srw	Question Answering	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	10	971	Semantics: Sentence-level Semantics and Textual Inference	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	791	Sentiment Analysis and Stylistic Analysis	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	12	801	Sentiment Analysis and Stylistic Analysis	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	575	Sentiment Analysis and Stylistic Analysis	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	12	303	Sentiment Analysis and Stylistic Analysis	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	88-srw	Sentiment Analysis and Stylistic Analysis	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	10	45-special	Human-Centered NLP	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	10	5-special	Human-Centered NLP	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	399	Speech	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	12	693	Speech	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	12	16-srw	Speech	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	12	94-srw	Speech	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	10	203	Syntax: Tagging, Chunking, and Parsing	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	10	42-srw	Syntax: Tagging, Chunking, and Parsing	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 4	14	562	Discourse and Pragmatics	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	417	Efficient methods in NLP	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	14	236	Efficient methods in NLP	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	14	653	Ethics, Bias, and Fairness	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	128	Ethics, Bias, and Fairness	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	200	Ethics, Bias, and Fairness	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	163	Information Extraction	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	116	Information Extraction	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	597	Information Extraction	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	537	Information Extraction	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	15	48-srw	Information Extraction	9:15	Wed 9:15	srw
3	Virtual Poster Q&A Session 4	15	77-srw	Information Extraction	9:15	Wed 9:15	srw
